Keyword,Page,Impressions,Avg Position,CTR,Clicks,Category,Priority Tier,Notes
"fine dining bali","/fine-dining",[from GSC],[from GSC],[from GSC],[from GSC],"Pillar","T1 Quick Win",
"private chef bali","/","[from GSC]","[from GSC]","[from GSC]","[from GSC]","Brand","T1 Quick Win",
"villa catering bali","/catering","[from GSC]","[from GSC]","[from GSC]","[from GSC]","Pillar","T1 Quick Win",
"bali private chef hire","/fine-dining","[from GSC]","[from GSC]","[from GSC]","[from GSC]","Pillar","T1 Quick Win",
"catering bali villas","/catering","[from GSC]","[from GSC]","[from GSC]","[from GSC]","Pillar","T1 Quick Win",
"wedding catering bali","/events","[from GSC]","[from GSC]","[from GSC]","[from GSC]","Pillar","T1 Quick Win",
"corporate event catering bali","/events","[from GSC]","[from GSC]","[from GSC]","[from GSC]","Pillar","T2 Medium",
"bali villa chef service","/fine-dining","[from GSC]","[from GSC]","[from GSC]","[from GSC]","Pillar","T2 Medium",
"hire private chef bali","/fine-dining","[from GSC]","[from GSC]","[from GSC]","[from GSC]","Pillar","T1 Quick Win",
"bali event planning","/events","[from GSC]","[from GSC]","[from GSC]","[from GSC]","Pillar","T2 Medium",
