Campaign,Campaign Type,Campaign Daily Budget,Bid Strategy Type,Maximum CPC bid limit,Networks,Languages,Location,Ad Group,Keyword,Criterion Type,Final URL,Status
MYCHEF | Search | Source Markets,Search,118000,Maximize clicks,25000,Google search,English,Australia; New Zealand; Singapore; Malaysia; United Arab Emirates; United Kingdom; Netherlands,Private Chef - Core,private chef bali,Exact,https://mychef.id/guide/private-chef-bali,Enabled
MYCHEF | Search | Source Markets,,,,,,,,Private Chef - Core,bali private chef,Exact,https://mychef.id/guide/private-chef-bali,Enabled
MYCHEF | Search | Source Markets,,,,,,,,Private Chef - Core,hire private chef bali,Exact,https://mychef.id/guide/private-chef-bali,Enabled
MYCHEF | Search | Source Markets,,,,,,,,Private Chef - Core,private chef in bali,Exact,https://mychef.id/guide/private-chef-bali,Enabled
MYCHEF | Search | Source Markets,,,,,,,,Private Chef - Core,hire a chef in bali,Exact,https://mychef.id/guide/private-chef-bali,Enabled
MYCHEF | Search | Source Markets,,,,,,,,Private Chef - Core,private chef bali,Phrase,https://mychef.id/guide/private-chef-bali,Enabled
MYCHEF | Search | Source Markets,,,,,,,,Private Chef - Core,hire a private chef bali,Phrase,https://mychef.id/guide/private-chef-bali,Enabled
MYCHEF | Search | Source Markets,,,,,,,,Private Chef - Core,bali private chef service,Phrase,https://mychef.id/guide/private-chef-bali,Enabled
MYCHEF | Search | Source Markets,,,,,,,,Private Chef - Core,book private chef bali,Phrase,https://mychef.id/guide/private-chef-bali,Enabled
MYCHEF | Search | Source Markets,,,,,,,,Private Chef - Core,private chef for bali villa,Phrase,https://mychef.id/guide/private-chef-bali,Enabled
MYCHEF | Search | Source Markets,,,,,,,,Private Chef - Cost,private chef bali cost,Exact,https://mychef.id/calculator,Enabled
MYCHEF | Search | Source Markets,,,,,,,,Private Chef - Cost,private chef bali price,Exact,https://mychef.id/calculator,Enabled
MYCHEF | Search | Source Markets,,,,,,,,Private Chef - Cost,bali private chef cost,Exact,https://mychef.id/calculator,Enabled
