content_file,derived_url,component,component_file,status,note
_locations_canggu.md,/locations/canggu,CangguPage,src/pages/CangguPage.tsx,OK,
_locations_jakarta.md,/locations/jakarta,,,HIDE,bali-only-focus
_locations_jimbaran.md,/locations/jimbaran,JimbaranPage,src/pages/JimbaranPage.tsx,OK,
_locations_nusa-dua.md,/locations/nusa-dua,NusaDuaPage,src/pages/NusaDuaPage.tsx,OK,
_locations_pererenan.md,/locations/pererenan,PererenanPage,src/pages/PererenanPage.tsx,OK,
_locations_sanur.md,/locations/sanur,SanurPage,src/pages/SanurPage.tsx,OK,
_locations_seminyak.md,/locations/seminyak,SeminyakPage,src/pages/SeminyakPage.tsx,OK,
_locations_ubud.md,/locations/ubud,UbudPage,src/pages/UbudPage.tsx,OK,
_locations_uluwatu.md,/locations/uluwatu,UluwatuPage,src/pages/UluwatuPage.tsx,OK,
_private-chef_canggu.md,/private-chef/canggu,PrivateChefAreaPage,src/components/PrivateChefAreaPage.tsx,OK,dynamic-private-chef-area:canggu
_private-chef_jimbaran.md,/private-chef/jimbaran,PrivateChefAreaPage,src/components/PrivateChefAreaPage.tsx,OK,dynamic-private-chef-area:jimbaran
_private-chef_nusa-dua.md,/private-chef/nusa-dua,PrivateChefAreaPage,src/components/PrivateChefAreaPage.tsx,OK,dynamic-private-chef-area:nusa-dua
_private-chef_pererenan.md,/private-chef/pererenan,PrivateChefAreaPage,src/components/PrivateChefAreaPage.tsx,OK,dynamic-private-chef-area:pererenan
_private-chef_sanur.md,/private-chef/sanur,PrivateChefAreaPage,src/components/PrivateChefAreaPage.tsx,OK,dynamic-private-chef-area:sanur
_private-chef_seminyak.md,/private-chef/seminyak,PrivateChefAreaPage,src/components/PrivateChefAreaPage.tsx,OK,dynamic-private-chef-area:seminyak
_private-chef_ubud.md,/private-chef/ubud,PrivateChefAreaPage,src/components/PrivateChefAreaPage.tsx,OK,dynamic-private-chef-area:ubud
_private-chef_uluwatu.md,/private-chef/uluwatu,PrivateChefAreaPage,src/components/PrivateChefAreaPage.tsx,OK,dynamic-private-chef-area:uluwatu
bali-wedding-catering-packages.md,/bali-wedding-catering-packages,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:bali-wedding-catering-packages
bar-services.md,/bar-services,BarServicesHubPage,src/pages/BarServicesHubPage.tsx,OK,trailing-slash-normalized
bar-services_bar-audit-improvement.md,/bar-services/bar-audit-improvement,BarServicePage,src/pages/BarServicePage.tsx,OK,dynamic-bar-service:bar-audit-improvement
bar-services_bar-costing-inventory-control.md,/bar-services/bar-costing-inventory-control,BarServicePage,src/pages/BarServicePage.tsx,OK,dynamic-bar-service:bar-costing-inventory-control
bar-services_bar-equipment-supply-rental.md,/bar-services/bar-equipment-supply-rental,BarServicePage,src/pages/BarServicePage.tsx,OK,dynamic-bar-service:bar-equipment-supply-rental
bar-services_bar-staff-training.md,/bar-services/bar-staff-training,BarServicePage,src/pages/BarServicePage.tsx,OK,dynamic-bar-service:bar-staff-training
bar-services_cocktail-menu-development.md,/bar-services/cocktail-menu-development,BarServicePage,src/pages/BarServicePage.tsx,OK,dynamic-bar-service:cocktail-menu-development
bar-services_complete-bar-performance-programme.md,/bar-services/complete-bar-performance-programme,BarServicePage,src/pages/BarServicePage.tsx,OK,dynamic-bar-service:complete-bar-performance-programme
bar-services_monthly-bar-management-support.md,/bar-services/monthly-bar-management-support,BarServicePage,src/pages/BarServicePage.tsx,OK,dynamic-bar-service:monthly-bar-management-support
bar-services_new-bar-setup.md,/bar-services/new-bar-setup,BarServicePage,src/pages/BarServicePage.tsx,OK,dynamic-bar-service:new-bar-setup
bar-services_permanent-bar-staff-recruitment.md,/bar-services/permanent-bar-staff-recruitment,BarServicePage,src/pages/BarServicePage.tsx,OK,dynamic-bar-service:permanent-bar-staff-recruitment
bar-services_signature-cocktail-creation.md,/bar-services/signature-cocktail-creation,BarServicePage,src/pages/BarServicePage.tsx,OK,dynamic-bar-service:signature-cocktail-creation
bar-services_temporary-bartender-staffing.md,/bar-services/temporary-bartender-staffing,BarServicePage,src/pages/BarServicePage.tsx,OK,dynamic-bar-service:temporary-bartender-staffing
bbq-grill.md,/bbq-grill,BbqGrillPage,src/pages/BbqGrillPage.tsx,OK,
best-private-chef-indonesia.md,/best-private-chef-indonesia,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:best-private-chef-indonesia
butler-service-bali-daily-rate.md,/butler-service-bali-daily-rate,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:butler-service-bali-daily-rate
catering.md,/catering,CateringPage,src/components/CateringPage.tsx,OK,
catering_babi-guling.md,/catering/babi-guling,CateringBabiGulingPage,src/pages/CateringBabiGulingPage.tsx,OK,
catering_bbq-catering.md,/catering/bbq-catering,CateringBBQPage,src/pages/CateringBBQPage.tsx,OK,
catering_buffet.md,/catering/buffet,CateringBuffetPage,src/pages/CateringBuffetPage.tsx,OK,
catering_corporate-catering.md,/catering/corporate-catering,CateringCorporatePage,src/pages/CateringCorporatePage.tsx,OK,
catering_drop-off-catering.md,/catering/drop-off-catering,CateringDropOffPage,src/pages/CateringDropOffPage.tsx,OK,
catering_floating-breakfast.md,/catering/floating-breakfast,CateringFloatingBreakfastPage,src/pages/CateringFloatingBreakfastPage.tsx,OK,
catering_grazing-tables.md,/catering/grazing-tables,CateringGrazingPage,src/pages/CateringGrazingPage.tsx,OK,
catering_plated-catering.md,/catering/plated-catering,CateringPlatedPage,src/pages/CateringPlatedPage.tsx,OK,
catering_retreat-catering.md,/catering/retreat-catering,CateringRetreatPage,src/pages/CateringRetreatPage.tsx,OK,
catering_villa-catering.md,/catering/villa-catering,CateringVillaPage,src/pages/CateringVillaPage.tsx,OK,
certified-partner.md,/certified-partner,PartnerPlatformPage,src/pages/PartnerPlatformPage.tsx,OK,
chef-for-hire-indonesia.md,/chef-for-hire-indonesia,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:chef-for-hire-indonesia
chef-table-experience-bali.md,/chef-table-experience-bali,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:chef-table-experience-bali
complete-villa-experience.md,/complete-villa-experience,CompleteVillaExperiencePage,src/pages/CompleteVillaExperiencePage.tsx,OK,
corporate-case-studies.md,/corporate-case-studies,CorporateCaseStudiesPage,src/pages/CorporateCaseStudiesPage.tsx,OK,
corporate-retreat-catering-bali.md,/corporate-retreat-catering-bali,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:corporate-retreat-catering-bali
dining-styles.md,/dining-styles,DiningStylesPage,src/pages/DiningStylesPage.tsx,OK,
events.md,/events,EventsMainPage,src/pages/EventsMainPage.tsx,OK,
events_anniversaries.md,/events/anniversaries,EventsAnniversariesPage,src/pages/EventsAnniversariesPage.tsx,OK,
events_baby-showers.md,/events/baby-showers,EventsBabyShowersPage,src/pages/EventsBabyShowersPage.tsx,OK,
events_birthdays.md,/events/birthdays,EventsBirthdaysPage,src/pages/EventsBirthdaysPage.tsx,OK,
events_corporate-events.md,/events/corporate-events,EventsCorporatePage,src/pages/EventsCorporatePage.tsx,OK,
events_retreats.md,/events/retreats,EventsRetreatsPage,src/pages/EventsRetreatsPage.tsx,OK,
events_villa-parties.md,/events/villa-parties,EventsVillaPartiesPage,src/pages/EventsVillaPartiesPage.tsx,OK,
events_weddings.md,/events/weddings,EventsWeddingsPage,src/pages/EventsWeddingsPage.tsx,OK,
experiences.md,/experiences,ExperiencesHubPage,src/pages/ExperiencesHubPage.tsx,OK,
experiences_champagne-oyster-experience.md,/experiences/champagne-oyster-experience,ExperienceChampagneOysterExperiencePage,src/pages/ExperienceChampagneOysterExperiencePage.tsx,OK,
experiences_kids-birthday-chef-party.md,/experiences/kids-birthday-chef-party,ExperienceKidsBirthdayChefPartyPage,src/pages/ExperienceKidsBirthdayChefPartyPage.tsx,OK,
experiences_private-cocktail-party.md,/experiences/private-cocktail-party,ExperiencePrivateCocktailPartyPage,src/pages/ExperiencePrivateCocktailPartyPage.tsx,OK,
experiences_private-cooking-class.md,/experiences/private-cooking-class,ExperiencePrivateCookingClassPage,src/pages/ExperiencePrivateCookingClassPage.tsx,OK,
experiences_romantic-proposal-dinner.md,/experiences/romantic-proposal-dinner,ExperienceRomanticProposalDinnerPage,src/pages/ExperienceRomanticProposalDinnerPage.tsx,OK,
experiences_sushi-masterclass.md,/experiences/sushi-masterclass,ExperienceSushiMasterclassPage,src/pages/ExperienceSushiMasterclassPage.tsx,OK,
family-styling.md,/family-styling,FamilyStylingPage,src/pages/FamilyStylingPage.tsx,OK,
faq.md,/faq,FAQPage,src/pages/FAQPage.tsx,OK,
fine-dining.md,/fine-dining,LunaPage,src/pages/LunaPage.tsx,OK,
fine-dining_chefs-table.md,/fine-dining/chefs-table,ChefsTablePage,src/pages/ChefsTablePage.tsx,OK,
fine-dining_menus.md,/fine-dining/menus,FineDiningMenusPage,src/pages/FineDiningMenusPage.tsx,OK,
fine-dining_our-chefs.md,/fine-dining/our-chefs,FineDiningChefsPage,src/pages/FineDiningChefsPage.tsx,OK,
fine-dining_private-chef-bali.md,/fine-dining/private-chef-bali,PrivateChefBaliPage,src/pages/PrivateChefBaliPage.tsx,OK,
fine-dining_romantic-dinner.md,/fine-dining/romantic-dinner,RomanticDinnerPage,src/pages/RomanticDinnerPage.tsx,OK,
fine-dining_tasting-menu.md,/fine-dining/tasting-menu,TastingMenuPage,src/pages/TastingMenuPage.tsx,OK,
group-villa-dinner-packages-bali.md,/group-villa-dinner-packages-bali,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:group-villa-dinner-packages-bali
healthy-meal-delivery-indonesia.md,/healthy-meal-delivery-indonesia,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:healthy-meal-delivery-indonesia
hire-private-chef-bali-monthly.md,/hire-private-chef-bali-monthly,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:hire-private-chef-bali-monthly
home.md,/,HubPage,src/pages/HubPage.tsx,OK,
honeymoon-chef.md,/honeymoon-chef,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:honeymoon-chef
in-villa-service.md,/in-villa-service,InVillaServicePage,src/components/InVillaServicePage.tsx,OK,
in-villa-service_bartenders.md,/in-villa-service/bartenders,ServiceBartendersPage,src/pages/ServiceBartendersPage.tsx,OK,
in-villa-service_butlers.md,/in-villa-service/butlers,ServiceButlersPage,src/pages/ServiceButlersPage.tsx,OK,
in-villa-service_host-hostess.md,/in-villa-service/host-hostess,ServiceHostPage,src/pages/ServiceHostPage.tsx,OK,
in-villa-service_mixology.md,/in-villa-service/mixology,ServiceMixologyPage,src/pages/ServiceMixologyPage.tsx,OK,
in-villa-service_sommelier.md,/in-villa-service/sommelier,ServiceSommelierPage,src/pages/ServiceSommelierPage.tsx,OK,
in-villa-service_waiters.md,/in-villa-service/waiters,ServiceWaitersPage,src/pages/ServiceWaitersPage.tsx,OK,
kids-menus.md,/kids-menus,KidsMenusPage,src/pages/KidsMenusPage.tsx,OK,
luxury-birthday-party-bali.md,/luxury-birthday-party-bali,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:luxury-birthday-party-bali
luxury-chef-indonesia.md,/luxury-chef-indonesia,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:luxury-chef-indonesia
michelin-private-chef-bali-prices.md,/michelin-private-chef-bali-prices,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:michelin-private-chef-bali-prices
pricing.md,/pricing,PricingPage,src/pages/PricingPage.tsx,OK,
private-chef-for-events.md,/private-chef-for-events,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:private-chef-for-events
private-chef-menteng.md,/private-chef-menteng,,,HIDE,bali-only-focus
private-dining-indonesia.md,/private-dining-indonesia,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:private-dining-indonesia
private-tasting-menu-bali.md,/private-tasting-menu-bali,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:private-tasting-menu-bali
proposal-dinner.md,/proposal-dinner,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:proposal-dinner
recommended-services.md,/recommended-services,RecommendedServicesPage,src/pages/RecommendedServicesPage.tsx,OK,
reviews.md,/reviews,ReviewsPage,src/pages/ReviewsPage.tsx,OK,
seafood-bbq-catering-bali.md,/seafood-bbq-catering-bali,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:seafood-bbq-catering-bali
services.md,/services,ServicesPage,src/pages/ServicesPage.tsx,OK,
staffing.md,/staffing,StaffingPage,src/pages/StaffingPage.tsx,OK,
staffing_for-hotels-restaurants.md,/staffing/for-hotels-restaurants,StaffingHotelsPage,src/pages/StaffingHotelsPage.tsx,OK,
staffing_for-villa-managers.md,/staffing/for-villa-managers,StaffingVillaManagersPage,src/pages/StaffingVillaManagersPage.tsx,OK,
staffing_household-staff.md,/staffing/household-staff,StaffingHouseholdPage,src/pages/StaffingHouseholdPage.tsx,OK,
staffing_live-in-chef.md,/staffing/live-in-chef,StaffingLiveInPage,src/pages/StaffingLiveInPage.tsx,OK,
staffing_private-chef-placement.md,/staffing/private-chef-placement,StaffingPlacementPage,src/pages/StaffingPlacementPage.tsx,OK,
staffing_villa-staff.md,/staffing/villa-staff,StaffingVillaStaffPage,src/pages/StaffingVillaStaffPage.tsx,OK,
three-course.md,/three-course,ThreeCoursePage,src/pages/ThreeCoursePage.tsx,OK,
villa-bbq-catering-bali.md,/villa-bbq-catering-bali,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:villa-bbq-catering-bali
villa-chef.md,/villa-chef,SolPage,src/pages/SolPage.tsx,OK,
villa-event-packages.md,/villa-event-packages,VillaEventPackagesPage,src/pages/VillaEventPackagesPage.tsx,OK,
villa-staff-bali-agency.md,/villa-staff-bali-agency,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:villa-staff-bali-agency
vip-transport-bali.md,/vip-transport-bali,VipTransportBaliPage,src/pages/VipTransportBaliPage.tsx,OK,
wedding-catering-indonesia.md,/wedding-catering-indonesia,LandingPage,src/components/LandingPage.tsx,OK,dynamic-landing:wedding-catering-indonesia
why-mychef.md,/why-mychef,WhyMychefPage,src/pages/WhyMychefPage.tsx,OK,
