Country,Clicks,Impressions,CTR,Position
Indonesia,264,8670,3.04%,13.64
Australia,139,2393,5.81%,9.07
Singapore,34,730,4.66%,13
United States,29,4358,0.67%,10.39
United Kingdom,23,625,3.68%,7.69
New Zealand,21,264,7.95%,6.54
Netherlands,20,411,4.87%,6.92
Germany,15,294,5.1%,7.01
Malaysia,14,372,3.76%,13.32
Canada,9,185,4.86%,6.06
India,7,250,2.8%,10.1
Hong Kong,7,198,3.54%,12.86
United Arab Emirates,7,162,4.32%,6.59
France,6,144,4.17%,7.36
South Africa,6,79,7.59%,13.05
Belgium,6,55,10.91%,6.04
Italy,4,151,2.65%,6.37
Spain,4,113,3.54%,8.31
Saudi Arabia,4,89,4.49%,6.58
Philippines,3,122,2.46%,8.7
Turkey,3,68,4.41%,7.81
Switzerland,3,47,6.38%,5.06
Russia,3,41,7.32%,11.8
Japan,2,82,2.44%,8.22
Denmark,2,53,3.77%,5.17
Taiwan,2,49,4.08%,4.1
Ireland,2,34,5.88%,7.65
Poland,2,32,6.25%,5.84
Papua New Guinea,2,5,40%,4.8
Thailand,1,135,0.74%,33.61
Morocco,1,50,2%,10.94
Sweden,1,45,2.22%,8.02
South Korea,1,33,3.03%,5.97
Norway,1,30,3.33%,6.33
Costa Rica,1,20,5%,7.2
Portugal,1,15,6.67%,5.73
Cambodia,1,15,6.67%,7.47
Tunisia,1,13,7.69%,10.77
Serbia,1,11,9.09%,9.36
Chile,1,11,9.09%,17.82
Finland,1,10,10%,7.5
Sri Lanka,1,9,11.11%,4.56
Kuwait,1,8,12.5%,7
Moldova,1,8,12.5%,7
Egypt,1,8,12.5%,16.5
Kenya,1,8,12.5%,18
Luxembourg,1,6,16.67%,4.83
Palau,1,5,20%,1.8
Latvia,1,5,20%,7.2
Mauritius,1,4,25%,2.75
Bahamas,1,4,25%,4.25
Vietnam,0,171,0%,18.42
China,0,97,0%,5.75
Brazil,0,78,0%,9.76
Mexico,0,63,0%,14.3
Argentina,0,43,0%,11.51
Qatar,0,33,0%,4.91
Greece,0,31,0%,8.39
Pakistan,0,25,0%,15.52
Iraq,0,21,0%,16.38
Colombia,0,18,0%,12.44
Hungary,0,17,0%,7.35
Austria,0,16,0%,5.62
Bangladesh,0,15,0%,19.87
Czechia,0,14,0%,6
Nigeria,0,14,0%,11.86
Algeria,0,12,0%,16.67
Slovakia,0,11,0%,6
Bulgaria,0,11,0%,8.91
Peru,0,11,0%,9.09
Jordan,0,11,0%,14.82
Azerbaijan,0,11,0%,17.64
Ukraine,0,10,0%,11.7
Ecuador,0,10,0%,15
Jersey,0,9,0%,7.33
Nepal,0,9,0%,7.89
Estonia,0,9,0%,13.22
Maldives,0,8,0%,5.25
Ghana,0,8,0%,7
Romania,0,7,0%,5
Iran,0,7,0%,5.14
Malta,0,7,0%,6.43
Trinidad & Tobago,0,6,0%,10.17
Uzbekistan,0,6,0%,12.5
Croatia,0,6,0%,13.5
Unknown Region,0,5,0%,3.6
Jamaica,0,5,0%,5.4
Slovenia,0,5,0%,5.8
Cyprus,0,5,0%,6.4
Israel,0,5,0%,7
Palestine,0,5,0%,9.8
Kazakhstan,0,5,0%,12
Venezuela,0,5,0%,12.8
Albania,0,5,0%,13.2
Honduras,0,5,0%,14.8
Oman,0,5,0%,18.8
Brunei,0,4,0%,5.75
Kyrgyzstan,0,4,0%,7
Turks & Caicos Islands,0,4,0%,7.75
Dominican Republic,0,4,0%,9.5
Kosovo,0,3,0%,2.33
Panama,0,3,0%,2.67
Puerto Rico,0,3,0%,5.33
Seychelles,0,3,0%,6.33
Yemen,0,3,0%,11.33
Angola,0,3,0%,15.33
Curaçao,0,2,0%,2
Timor-Leste,0,2,0%,2.5
Zambia,0,2,0%,3
Laos,0,2,0%,3.5
Georgia,0,2,0%,4
Guam,0,2,0%,4
Grenada,0,2,0%,4.5
Macau,0,2,0%,5.5
Zimbabwe,0,2,0%,5.5
Congo - Kinshasa,0,2,0%,6
Myanmar (Burma),0,2,0%,6
El Salvador,0,2,0%,6
Samoa,0,2,0%,6
Senegal,0,2,0%,6.5
Ethiopia,0,2,0%,7
Iceland,0,2,0%,8
Macedonia,0,2,0%,8
Gambia,0,2,0%,9
Tanzania,0,2,0%,9
Belize,0,2,0%,10.5
Bolivia,0,2,0%,11.5
Barbados,0,1,0%,1
Haiti,0,1,0%,1
Lithuania,0,1,0%,1
Madagascar,0,1,0%,1
Uganda,0,1,0%,2
Namibia,0,1,0%,3
Bermuda,0,1,0%,4
Mali,0,1,0%,4
New Caledonia,0,1,0%,4
Paraguay,0,1,0%,4
Uruguay,0,1,0%,4
Guernsey,0,1,0%,5
Mozambique,0,1,0%,5
Cayman Islands,0,1,0%,6
Montenegro,0,1,0%,6
Vanuatu,0,1,0%,6
Cameroon,0,1,0%,7
Northern Mariana Islands,0,1,0%,7
British Virgin Islands,0,1,0%,7
Guinea,0,1,0%,8
Antigua & Barbuda,0,1,0%,9
Niger,0,1,0%,9
Fiji,0,1,0%,10
St. Kitts & Nevis,0,1,0%,10
Bahrain,0,1,0%,25
Syria,0,1,0%,26
Lebanon,0,1,0%,29
Côte d’Ivoire,0,1,0%,30
