Top pages,Clicks,Impressions,CTR,Position
https://mychef.id/,225,5934,3.79%,9.33
https://mychef.id/private-chef-senayan,47,974,4.83%,5.78
https://mychef.id/in-villa-service/butlers,32,579,5.53%,11.54
https://mychef.id/locations/canggu,31,1050,2.95%,14.91
https://mychef.id/catering/bbq-catering,20,690,2.9%,10.39
https://mychef.id/locations/sanur,19,440,4.32%,14.1
https://mychef.id/locations/ubud,16,627,2.55%,18.08
https://mychef.id/jakarta,16,444,3.6%,10.32
https://mychef.id/blog/private-chef-cost-bali,15,916,1.64%,5.37
https://mychef.id/locations/seminyak,14,488,2.87%,20.64
https://mychef.id/uluwatu,14,437,3.2%,9.65
https://mychef.id/locations/jakarta,13,345,3.77%,15.4
https://mychef.id/ubud,13,295,4.41%,18.11
https://mychef.id/chef-for-hire-indonesia,11,243,4.53%,11
https://mychef.id/catering/buffet,10,472,2.12%,9.96
https://mychef.id/in-villa-service/mixology,10,183,5.46%,11.21
https://mychef.id/private-chef-menteng,8,472,1.69%,12.76
https://mychef.id/locations/uluwatu,8,218,3.67%,11.68
https://mychef.id/catering,7,647,1.08%,27.92
https://mychef.id/sanur,7,422,1.66%,13.06
https://mychef.id/fine-dining/tasting-menu,6,432,1.39%,18.02
https://mychef.id/private-dining-indonesia,6,417,1.44%,20.92
https://mychef.id/villa-bbq-catering-bali,6,259,2.32%,32.66
https://mychef.id/private-chef-kelapa-gading,6,178,3.37%,6.92
https://mychef.id/private-chef-pantai-indah-kapuk,6,174,3.45%,6.55
https://mychef.id/in-villa-service/host-hostess,5,88,5.68%,6.48
https://mychef.id/bali-wedding-catering-packages,4,609,0.66%,24.04
https://mychef.id/lovina,4,286,1.4%,8.38
https://mychef.id/canggu,4,204,1.96%,8.56
https://mychef.id/in-villa-service,4,100,4%,19.68
https://mychef.id/private-chef-kemang,4,90,4.44%,7.89
https://mychef.id/amed,4,16,25%,6.69
https://mychef.id/journal/bali-private-chef-cost-guide-2026,3,608,0.49%,6.38
https://mychef.id/services/romantic-dinners,3,255,1.18%,34.77
